service,metric,first_anomaly_timestamp,score,value,detector
cart-service,memory_usage_bytes,2026-06-01T01:55:30Z,3.132,504340865.0,rolling_z_score
cart-service,jvm_gc_pause_ms_avg,2026-06-01T02:08:30Z,3.188,102.1,rolling_z_score
cart-service,http_p99_latency_ms,2026-06-01T00:47:00Z,4.011,123.8,rolling_z_score
order-service,http_p99_latency_ms,2026-06-01T03:00:00Z,3.055,96.7,rolling_z_score
order-service,upstream_timeout_rate,2026-06-01T20:32:00Z,5.572,2.06,rolling_z_score
payment-service,http_p99_latency_ms,2026-06-01T01:49:00Z,3.753,120.1,rolling_z_score
payment-service,upstream_timeout_rate,2026-06-01T20:45:00Z,11.299,1.91,rolling_z_score
api-gateway,cart_upstream_error_rate,2026-06-01T20:00:30Z,5.609,1.64,rolling_z_score
api-gateway,http_p99_latency_ms,2026-06-01T01:51:30Z,3.26,61.4,rolling_z_score
product-service,http_p99_latency_ms,2026-06-01T01:15:30Z,3.21,85.5,rolling_z_score
product-service,http_5xx_rate,2026-06-01T03:04:00Z,3.172,2.25,rolling_z_score
product-service,cpu_usage_percent,2026-06-01T03:03:30Z,4.015,41.97,rolling_z_score
